Name,Year,Tenure,Percent_of_population_in_borough
Redbridge,2017,Own.Outright,23.5
Richmond upon Thames,2017,Own.Outright,30.2
Southwark,2017,Own.Outright,11.6
Sutton,2017,Own.Outright,29.4
Tower Hamlets,2017,Own.Outright,10.5
Waltham Forest,2017,Own.Outright,16.1
Wandsworth,2017,Own.Outright,16.1
Westminster,2017,Own.Outright,16.1
Inner London,2017,Own.Outright,15.3
Outer London,2017,Own.Outright,22.5
North East,2017,Own.Outright,27.1
North West,2017,Own.Outright,29.4
Yorkshire and The Humber,2017,Own.Outright,28.3
East Midlands,2017,Own.Outright,29.6
West Midlands,2017,Own.Outright,29.7
East of England,2017,Own.Outright,29.8
London,2017,Own.Outright,19.7
South East,2017,Own.Outright,29.4
South West,2017,Own.Outright,32.4
Wales,2017,Own.Outright,32.8
Scotland,2017,Own.Outright,29.5
Northern Ireland,2017,Own.Outright,31.2
UK,2017,Own.Outright,28.4
City of London,2016,Own.Outright,-
Barking and Dagenham,2016,Own.Outright,14.2
Barnet,2016,Own.Outright,25.1
Bexley,2016,Own.Outright,30
Brent,2016,Own.Outright,15.1
Bromley,2016,Own.Outright,25.8
Camden,2016,Own.Outright,19.8
Croydon,2016,Own.Outright,16.3
Ealing,2016,Own.Outright,26.6
Enfield,2016,Own.Outright,23.7
Greenwich,2016,Own.Outright,14.3
Hackney,2016,Own.Outright,12.9
Hammersmith and Fulham,2016,Own.Outright,20.1
Haringey,2016,Own.Outright,17
Harrow,2016,Own.Outright,24.8
Havering,2016,Own.Outright,31.9
Hillingdon,2016,Own.Outright,19.5
Hounslow,2016,Own.Outright,18.2
Islington,2016,Own.Outright,16.4
Kensington and Chelsea,2016,Own.Outright,19.2
Kingston upon Thames,2016,Own.Outright,24.8
Lambeth,2016,Own.Outright,17.6
Lewisham,2016,Own.Outright,12.1
Merton,2016,Own.Outright,24.3
Newham,2016,Own.Outright,15
Redbridge,2016,Own.Outright,23.5
Richmond upon Thames,2016,Own.Outright,30.2
Southwark,2016,Own.Outright,11.6
Sutton,2016,Own.Outright,29.4
Tower Hamlets,2016,Own.Outright,10.5
Waltham Forest,2016,Own.Outright,16.1
Wandsworth,2016,Own.Outright,16.1
Westminster,2016,Own.Outright,16.1
Inner London,2016,Own.Outright,15.3
Outer London,2016,Own.Outright,22.5
North East,2016,Own.Outright,27.1
North West,2016,Own.Outright,29.4
Yorkshire and The Humber,2016,Own.Outright,28.3
East Midlands,2016,Own.Outright,29.6
West Midlands,2016,Own.Outright,29.7
East of England,2016,Own.Outright,29.8
London,2016,Own.Outright,19.7
South East,2016,Own.Outright,29.4
South West,2016,Own.Outright,32.4
Wales,2016,Own.Outright,32.8
Scotland,2016,Own.Outright,29.5
Northern Ireland,2016,Own.Outright,31.2
UK,2016,Own.Outright,28.4
City of London,2015,Own.Outright,-
Barking and Dagenham,2015,Own.Outright,14.2
Barnet,2015,Own.Outright,25.1
Bexley,2015,Own.Outright,30
Brent,2015,Own.Outright,15.1
Bromley,2015,Own.Outright,25.8
Camden,2015,Own.Outright,19.8
Croydon,2015,Own.Outright,16.3
Ealing,2015,Own.Outright,26.6
Enfield,2015,Own.Outright,23.7
Greenwich,2015,Own.Outright,14.3
Hackney,2015,Own.Outright,12.9
Hammersmith and Fulham,2015,Own.Outright,20.1
Haringey,2015,Own.Outright,17
Harrow,2015,Own.Outright,24.8
Havering,2015,Own.Outright,31.9
Hillingdon,2015,Own.Outright,19.5
Hounslow,2015,Own.Outright,18.2
Islington,2015,Own.Outright,16.4
Kensington and Chelsea,2015,Own.Outright,19.2
Kingston upon Thames,2015,Own.Outright,24.8
Lambeth,2015,Own.Outright,17.6
Lewisham,2015,Own.Outright,12.1
Merton,2015,Own.Outright,24.3
Newham,2015,Own.Outright,15
Redbridge,2015,Own.Outright,23.5
Richmond upon Thames,2015,Own.Outright,30.2
Southwark,2015,Own.Outright,11.6
Sutton,2015,Own.Outright,29.4
Tower Hamlets,2015,Own.Outright,10.5
Waltham Forest,2015,Own.Outright,16.1
Wandsworth,2015,Own.Outright,16.1
Westminster,2015,Own.Outright,16.1
Inner London,2015,Own.Outright,15.3
Outer London,2015,Own.Outright,22.5
North East,2015,Own.Outright,27.1
North West,2015,Own.Outright,29.4
Yorkshire and The Humber,2015,Own.Outright,28.3
East Midlands,2015,Own.Outright,29.6
West Midlands,2015,Own.Outright,29.7
East of England,2015,Own.Outright,29.8
London,2015,Own.Outright,19.7
South East,2015,Own.Outright,29.4
South West,2015,Own.Outright,32.4
Wales,2015,Own.Outright,32.8
Scotland,2015,Own.Outright,29.5
Northern Ireland,2015,Own.Outright,31.2
UK,2015,Own.Outright,28.4
City of London,2014,Own.Outright,-
Barking and Dagenham,2014,Own.Outright,14.2
Barnet,2014,Own.Outright,25.1
Bexley,2014,Own.Outright,30
Brent,2014,Own.Outright,15.1
Bromley,2014,Own.Outright,25.8
Camden,2014,Own.Outright,19.8
Croydon,2014,Own.Outright,16.3
Ealing,2014,Own.Outright,26.6
Enfield,2014,Own.Outright,23.7
Greenwich,2014,Own.Outright,14.3
Hackney,2014,Own.Outright,12.9
Hammersmith and Fulham,2014,Own.Outright,20.1
Haringey,2014,Own.Outright,17
Harrow,2014,Own.Outright,24.8
Havering,2014,Own.Outright,31.9
Hillingdon,2014,Own.Outright,19.5
Hounslow,2014,Own.Outright,18.2
Islington,2014,Own.Outright,16.4
Kensington and Chelsea,2014,Own.Outright,19.2
Kingston upon Thames,2014,Own.Outright,24.8
Lambeth,2014,Own.Outright,17.6
Lewisham,2014,Own.Outright,12.1
Merton,2014,Own.Outright,24.3
Newham,2014,Own.Outright,15
Redbridge,2014,Own.Outright,23.5
Richmond upon Thames,2014,Own.Outright,30.2
Southwark,2014,Own.Outright,11.6
Sutton,2014,Own.Outright,29.4
Tower Hamlets,2014,Own.Outright,10.5
Waltham Forest,2014,Own.Outright,16.1
Wandsworth,2014,Own.Outright,16.1
Westminster,2014,Own.Outright,16.1
Inner London,2014,Own.Outright,15.3
Outer London,2014,Own.Outright,22.5
North East,2014,Own.Outright,27.1
North West,2014,Own.Outright,29.4
Yorkshire and The Humber,2014,Own.Outright,28.3
East Midlands,2014,Own.Outright,29.6
West Midlands,2014,Own.Outright,29.7
East of England,2014,Own.Outright,29.8
London,2014,Own.Outright,19.7
South East,2014,Own.Outright,29.4
South West,2014,Own.Outright,32.4
Wales,2014,Own.Outright,32.8
Scotland,2014,Own.Outright,29.5
Northern Ireland,2014,Own.Outright,31.2
UK,2014,Own.Outright,28.4
City of London,2013,Own.Outright,-
Barking and Dagenham,2013,Own.Outright,14.2
Barnet,2013,Own.Outright,25.1
Bexley,2013,Own.Outright,30
Brent,2013,Own.Outright,15.1
Bromley,2013,Own.Outright,25.8
Camden,2013,Own.Outright,19.8
Croydon,2013,Own.Outright,16.3
Ealing,2013,Own.Outright,26.6
Enfield,2013,Own.Outright,23.7
Greenwich,2013,Own.Outright,14.3
Hackney,2013,Own.Outright,12.9
Hammersmith and Fulham,2013,Own.Outright,20.1
Haringey,2013,Own.Outright,17
Harrow,2013,Own.Outright,24.8
Havering,2013,Own.Outright,31.9
Hillingdon,2013,Own.Outright,19.5
Hounslow,2013,Own.Outright,18.2
Islington,2013,Own.Outright,16.4
Kensington and Chelsea,2013,Own.Outright,19.2
Kingston upon Thames,2013,Own.Outright,24.8
Lambeth,2013,Own.Outright,17.6
Lewisham,2013,Own.Outright,12.1
Merton,2013,Own.Outright,24.3
Newham,2013,Own.Outright,15
Redbridge,2013,Own.Outright,23.5
Richmond upon Thames,2013,Own.Outright,30.2
Southwark,2013,Own.Outright,11.6
Sutton,2013,Own.Outright,29.4
Tower Hamlets,2013,Own.Outright,10.5
Waltham Forest,2013,Own.Outright,16.1
Wandsworth,2013,Own.Outright,16.1
Westminster,2013,Own.Outright,16.1
Inner London,2013,Own.Outright,15.3
Outer London,2013,Own.Outright,22.5
North East,2013,Own.Outright,27.1
North West,2013,Own.Outright,29.4
Yorkshire and The Humber,2013,Own.Outright,28.3
East Midlands,2013,Own.Outright,29.6
West Midlands,2013,Own.Outright,29.7
East of England,2013,Own.Outright,29.8
London,2013,Own.Outright,19.7
South East,2013,Own.Outright,29.4
South West,2013,Own.Outright,32.4
Wales,2013,Own.Outright,32.8
Scotland,2013,Own.Outright,29.5
Northern Ireland,2013,Own.Outright,31.2
UK,2013,Own.Outright,28.4
City of London,2012,Own.Outright,-
Barking and Dagenham,2012,Own.Outright,14.2
Barnet,2012,Own.Outright,25.1
Bexley,2012,Own.Outright,30
Brent,2012,Own.Outright,15.1
Bromley,2012,Own.Outright,25.8
Camden,2012,Own.Outright,19.8
Croydon,2012,Own.Outright,16.3
Ealing,2012,Own.Outright,26.6
Enfield,2012,Own.Outright,23.7
Greenwich,2012,Own.Outright,14.3
Hackney,2012,Own.Outright,12.9
Hammersmith and Fulham,2012,Own.Outright,20.1
Haringey,2012,Own.Outright,17
Harrow,2012,Own.Outright,24.8
Havering,2012,Own.Outright,31.9
Hillingdon,2012,Own.Outright,19.5
Hounslow,2012,Own.Outright,18.2
Islington,2012,Own.Outright,16.4
Kensington and Chelsea,2012,Own.Outright,19.2
Kingston upon Thames,2012,Own.Outright,24.8
Lambeth,2012,Own.Outright,17.6
Lewisham,2012,Own.Outright,12.1
Merton,2012,Own.Outright,24.3
Newham,2012,Own.Outright,15
Redbridge,2012,Own.Outright,23.5
Richmond upon Thames,2012,Own.Outright,30.2
Southwark,2012,Own.Outright,11.6
Sutton,2012,Own.Outright,29.4
Tower Hamlets,2012,Own.Outright,10.5
Waltham Forest,2012,Own.Outright,16.1
Wandsworth,2012,Own.Outright,16.1
Westminster,2012,Own.Outright,16.1
Inner London,2012,Own.Outright,15.3
Outer London,2012,Own.Outright,22.5
North East,2012,Own.Outright,27.1
North West,2012,Own.Outright,29.4
Yorkshire and The Humber,2012,Own.Outright,28.3
East Midlands,2012,Own.Outright,29.6
West Midlands,2012,Own.Outright,29.7
East of England,2012,Own.Outright,29.8
London,2012,Own.Outright,19.7
South East,2012,Own.Outright,29.4
South West,2012,Own.Outright,32.4
Wales,2012,Own.Outright,32.8
Scotland,2012,Own.Outright,29.5
Northern Ireland,2012,Own.Outright,31.2
UK,2012,Own.Outright,28.4
City of London,2011,Own.Outright,-
Barking and Dagenham,2011,Own.Outright,14.2
Barnet,2011,Own.Outright,25.1
Bexley,2011,Own.Outright,30
Brent,2011,Own.Outright,15.1
Bromley,2011,Own.Outright,25.8
Camden,2011,Own.Outright,19.8
Croydon,2011,Own.Outright,16.3
Ealing,2011,Own.Outright,26.6
Enfield,2011,Own.Outright,23.7
Greenwich,2011,Own.Outright,14.3
Hackney,2011,Own.Outright,12.9
Hammersmith and Fulham,2011,Own.Outright,20.1
Haringey,2011,Own.Outright,17
Harrow,2011,Own.Outright,24.8
Havering,2011,Own.Outright,31.9
Hillingdon,2011,Own.Outright,19.5
Hounslow,2011,Own.Outright,18.2
Islington,2011,Own.Outright,16.4
Kensington and Chelsea,2011,Own.Outright,19.2
Kingston upon Thames,2011,Own.Outright,24.8
Lambeth,2011,Own.Outright,17.6
Lewisham,2011,Own.Outright,12.1
Merton,2011,Own.Outright,24.3
Newham,2011,Own.Outright,15
Redbridge,2011,Own.Outright,23.5
Richmond upon Thames,2011,Own.Outright,30.2
Southwark,2011,Own.Outright,11.6
Sutton,2011,Own.Outright,29.4
Tower Hamlets,2011,Own.Outright,10.5
Waltham Forest,2011,Own.Outright,16.1
Wandsworth,2011,Own.Outright,16.1
Westminster,2011,Own.Outright,16.1
Inner London,2011,Own.Outright,15.3
Outer London,2011,Own.Outright,22.5
North East,2011,Own.Outright,27.1
North West,2011,Own.Outright,29.4
Yorkshire and The Humber,2011,Own.Outright,28.3
East Midlands,2011,Own.Outright,29.6
West Midlands,2011,Own.Outright,29.7
East of England,2011,Own.Outright,29.8
London,2011,Own.Outright,19.7
South East,2011,Own.Outright,29.4
South West,2011,Own.Outright,32.4
Wales,2011,Own.Outright,32.8
Scotland,2011,Own.Outright,29.5
Northern Ireland,2011,Own.Outright,31.2
UK,2011,Own.Outright,28.4
City of London,2010,Own.Outright,-
Barking and Dagenham,2010,Own.Outright,14.2
Barnet,2010,Own.Outright,25.1
Bexley,2010,Own.Outright,30
Brent,2010,Own.Outright,15.1
Bromley,2010,Own.Outright,25.8
Camden,2010,Own.Outright,19.8
Croydon,2010,Own.Outright,16.3
Ealing,2010,Own.Outright,26.6
Enfield,2010,Own.Outright,23.7
Greenwich,2010,Own.Outright,14.3
Hackney,2010,Own.Outright,12.9
Hammersmith and Fulham,2010,Own.Outright,20.1
Haringey,2010,Own.Outright,17
Harrow,2010,Own.Outright,24.8
Havering,2010,Own.Outright,31.9
Hillingdon,2010,Own.Outright,19.5
Hounslow,2010,Own.Outright,18.2
Islington,2010,Own.Outright,16.4
Kensington and Chelsea,2010,Own.Outright,19.2
Kingston upon Thames,2010,Own.Outright,24.8
Lambeth,2010,Own.Outright,17.6
Lewisham,2010,Own.Outright,12.1
Merton,2010,Own.Outright,24.3
Newham,2010,Own.Outright,15
Redbridge,2010,Own.Outright,23.5
Richmond upon Thames,2010,Own.Outright,30.2
Southwark,2010,Own.Outright,11.6
Sutton,2010,Own.Outright,29.4
Tower Hamlets,2010,Own.Outright,10.5
Waltham Forest,2010,Own.Outright,16.1
Wandsworth,2010,Own.Outright,16.1
Westminster,2010,Own.Outright,16.1
Inner London,2010,Own.Outright,15.3
Outer London,2010,Own.Outright,22.5
North East,2010,Own.Outright,27.1
North West,2010,Own.Outright,29.4
Yorkshire and The Humber,2010,Own.Outright,28.3
East Midlands,2010,Own.Outright,29.6
West Midlands,2010,Own.Outright,29.7
East of England,2010,Own.Outright,29.8
London,2010,Own.Outright,19.7
South East,2010,Own.Outright,29.4
South West,2010,Own.Outright,32.4
Wales,2010,Own.Outright,32.8
Scotland,2010,Own.Outright,29.5
Northern Ireland,2010,Own.Outright,31.2
UK,2010,Own.Outright,28.4
City of London,2009,Own.Outright,-
Barking and Dagenham,2009,Own.Outright,14.2
Barnet,2009,Own.Outright,25.1
Bexley,2009,Own.Outright,30
Brent,2009,Own.Outright,15.1
Bromley,2009,Own.Outright,25.8
Camden,2009,Own.Outright,19.8
Croydon,2009,Own.Outright,16.3
Ealing,2009,Own.Outright,26.6
Enfield,2009,Own.Outright,23.7
Greenwich,2009,Own.Outright,14.3
Hackney,2009,Own.Outright,12.9
Hammersmith and Fulham,2009,Own.Outright,20.1
Haringey,2009,Own.Outright,17
Harrow,2009,Own.Outright,24.8
Havering,2009,Own.Outright,31.9
Hillingdon,2009,Own.Outright,19.5
Hounslow,2009,Own.Outright,18.2
Islington,2009,Own.Outright,16.4
Kensington and Chelsea,2009,Own.Outright,19.2
Kingston upon Thames,2009,Own.Outright,24.8
Lambeth,2009,Own.Outright,17.6
Lewisham,2009,Own.Outright,12.1
Merton,2009,Own.Outright,24.3
Newham,2009,Own.Outright,15
Redbridge,2009,Own.Outright,23.5
Richmond upon Thames,2009,Own.Outright,30.2
Southwark,2009,Own.Outright,11.6
Sutton,2009,Own.Outright,29.4
Tower Hamlets,2009,Own.Outright,10.5
Waltham Forest,2009,Own.Outright,16.1
Wandsworth,2009,Own.Outright,16.1
Westminster,2009,Own.Outright,16.1
Inner London,2009,Own.Outright,15.3
Outer London,2009,Own.Outright,22.5
North East,2009,Own.Outright,27.1
North West,2009,Own.Outright,29.4
Yorkshire and The Humber,2009,Own.Outright,28.3
East Midlands,2009,Own.Outright,29.6
West Midlands,2009,Own.Outright,29.7
East of England,2009,Own.Outright,29.8
London,2009,Own.Outright,19.7
South East,2009,Own.Outright,29.4
South West,2009,Own.Outright,32.4
Wales,2009,Own.Outright,32.8
Scotland,2009,Own.Outright,29.5
Northern Ireland,2009,Own.Outright,31.2
UK,2009,Own.Outright,28.4
City of London,2008,Own.Outright,-
Barking and Dagenham,2008,Own.Outright,14.2
Barnet,2008,Own.Outright,25.1
Bexley,2008,Own.Outright,30
Brent,2008,Own.Outright,15.1
Bromley,2008,Own.Outright,25.8
Camden,2008,Own.Outright,19.8
Croydon,2008,Own.Outright,16.3
Ealing,2008,Own.Outright,26.6
Enfield,2008,Own.Outright,23.7
Greenwich,2008,Own.Outright,14.3
Hackney,2008,Own.Outright,12.9
Hammersmith and Fulham,2008,Own.Outright,20.1
Haringey,2008,Own.Outright,17
Harrow,2008,Own.Outright,24.8
Havering,2008,Own.Outright,31.9
Hillingdon,2008,Own.Outright,19.5
Hounslow,2008,Own.Outright,18.2
Islington,2008,Own.Outright,16.4
Kensington and Chelsea,2008,Own.Outright,19.2
Kingston upon Thames,2008,Own.Outright,24.8
Lambeth,2008,Own.Outright,17.6
Lewisham,2008,Own.Outright,12.1
Merton,2008,Own.Outright,24.3
Newham,2008,Own.Outright,15
Redbridge,2008,Own.Outright,23.5
Richmond upon Thames,2008,Own.Outright,30.2
Southwark,2008,Own.Outright,11.6
Sutton,2008,Own.Outright,29.4
Tower Hamlets,2008,Own.Outright,10.5
Waltham Forest,2008,Own.Outright,16.1
Wandsworth,2008,Own.Outright,16.1
Westminster,2008,Own.Outright,16.1
Inner London,2008,Own.Outright,15.3
Outer London,2008,Own.Outright,22.5
North East,2008,Own.Outright,27.1
North West,2008,Own.Outright,29.4
Yorkshire and The Humber,2008,Own.Outright,28.3
East Midlands,2008,Own.Outright,29.6
West Midlands,2008,Own.Outright,29.7
East of England,2008,Own.Outright,29.8
London,2008,Own.Outright,19.7
South East,2008,Own.Outright,29.4
South West,2008,Own.Outright,32.4
Wales,2008,Own.Outright,32.8
Scotland,2008,Own.Outright,29.5
Northern Ireland,2008,Own.Outright,31.2
UK,2008,Own.Outright,28.4
City of London,2007,Own.Outright,-
Barking and Dagenham,2007,Own.Outright,14.2
Barnet,2007,Own.Outright,25.1
Bexley,2007,Own.Outright,30
Brent,2007,Own.Outright,15.1
Bromley,2007,Own.Outright,25.8
Camden,2007,Own.Outright,19.8
Croydon,2007,Own.Outright,16.3
Ealing,2007,Own.Outright,26.6
Enfield,2007,Own.Outright,23.7
Greenwich,2007,Own.Outright,14.3
Hackney,2007,Own.Outright,12.9
Hammersmith and Fulham,2007,Own.Outright,20.1
Haringey,2007,Own.Outright,17
Harrow,2007,Own.Outright,24.8
Havering,2007,Own.Outright,31.9
Hillingdon,2007,Own.Outright,19.5
Hounslow,2007,Own.Outright,18.2
Islington,2007,Own.Outright,16.4
Kensington and Chelsea,2007,Own.Outright,19.2
Kingston upon Thames,2007,Own.Outright,24.8
Lambeth,2007,Own.Outright,17.6
Lewisham,2007,Own.Outright,12.1
Merton,2007,Own.Outright,24.3
Newham,2007,Own.Outright,15
Redbridge,2007,Own.Outright,23.5
Richmond upon Thames,2007,Own.Outright,30.2
Southwark,2007,Own.Outright,11.6
Sutton,2007,Own.Outright,29.4
Tower Hamlets,2007,Own.Outright,10.5
Waltham Forest,2007,Own.Outright,16.1
Wandsworth,2007,Own.Outright,16.1
Westminster,2007,Own.Outright,16.1
Inner London,2007,Own.Outright,15.3
Outer London,2007,Own.Outright,22.5
North East,2007,Own.Outright,27.1
North West,2007,Own.Outright,29.4
Yorkshire and The Humber,2007,Own.Outright,28.3
East Midlands,2007,Own.Outright,29.6
West Midlands,2007,Own.Outright,29.7
East of England,2007,Own.Outright,29.8
London,2007,Own.Outright,19.7
South East,2007,Own.Outright,29.4
South West,2007,Own.Outright,32.4
Wales,2007,Own.Outright,32.8
Scotland,2007,Own.Outright,29.5
Northern Ireland,2007,Own.Outright,31.2
UK,2007,Own.Outright,28.4
City of London,2006,Own.Outright,-
Barking and Dagenham,2006,Own.Outright,14.2
Barnet,2006,Own.Outright,25.1
Bexley,2006,Own.Outright,30
Brent,2006,Own.Outright,15.1
Bromley,2006,Own.Outright,25.8
Camden,2006,Own.Outright,19.8
Croydon,2006,Own.Outright,16.3
Ealing,2006,Own.Outright,26.6
Enfield,2006,Own.Outright,23.7
Greenwich,2006,Own.Outright,14.3
Hackney,2006,Own.Outright,12.9
Hammersmith and Fulham,2006,Own.Outright,20.1
Haringey,2006,Own.Outright,17
Harrow,2006,Own.Outright,24.8
Havering,2006,Own.Outright,31.9
Hillingdon,2006,Own.Outright,19.5
Hounslow,2006,Own.Outright,18.2
Islington,2006,Own.Outright,16.4
Kensington and Chelsea,2006,Own.Outright,19.2
Kingston upon Thames,2006,Own.Outright,24.8
Lambeth,2006,Own.Outright,17.6
Lewisham,2006,Own.Outright,12.1
Merton,2006,Own.Outright,24.3
Newham,2006,Own.Outright,15
Redbridge,2006,Own.Outright,23.5
Richmond upon Thames,2006,Own.Outright,30.2
Southwark,2006,Own.Outright,11.6
Sutton,2006,Own.Outright,29.4
Tower Hamlets,2006,Own.Outright,10.5
Waltham Forest,2006,Own.Outright,16.1
Wandsworth,2006,Own.Outright,16.1
Westminster,2006,Own.Outright,16.1
Inner London,2006,Own.Outright,15.3
Outer London,2006,Own.Outright,22.5
North East,2006,Own.Outright,27.1
North West,2006,Own.Outright,29.4
Yorkshire and The Humber,2006,Own.Outright,28.3
East Midlands,2006,Own.Outright,29.6
West Midlands,2006,Own.Outright,29.7
East of England,2006,Own.Outright,29.8
London,2006,Own.Outright,19.7
South East,2006,Own.Outright,29.4
South West,2006,Own.Outright,32.4
Wales,2006,Own.Outright,32.8
Scotland,2006,Own.Outright,29.5
Northern Ireland,2006,Own.Outright,31.2
UK,2006,Own.Outright,28.4
City of London,2018,Buying.with.mortgage,-
Barking and Dagenham,2018,Buying.with.mortgage,31.4
Barnet,2018,Buying.with.mortgage,35
Bexley,2018,Buying.with.mortgage,47.2
Brent,2018,Buying.with.mortgage,26.2
Bromley,2018,Buying.with.mortgage,41.1
Camden,2018,Buying.with.mortgage,16.9
Croydon,2018,Buying.with.mortgage,37.5
Ealing,2018,Buying.with.mortgage,38.1
Enfield,2018,Buying.with.mortgage,25.5
Greenwich,2018,Buying.with.mortgage,33.9
Hackney,2018,Buying.with.mortgage,18.6
Hammersmith and Fulham,2018,Buying.with.mortgage,22.7
Haringey,2018,Buying.with.mortgage,25.6
Harrow,2018,Buying.with.mortgage,32.7
Havering,2018,Buying.with.mortgage,43.2
Hillingdon,2018,Buying.with.mortgage,41.9
Hounslow,2018,Buying.with.mortgage,31.3
Islington,2018,Buying.with.mortgage,19.5
Kensington and Chelsea,2018,Buying.with.mortgage,14
Kingston upon Thames,2018,Buying.with.mortgage,37.1
Lambeth,2018,Buying.with.mortgage,27.1
Lewisham,2018,Buying.with.mortgage,36
Merton,2018,Buying.with.mortgage,34.6
Newham,2018,Buying.with.mortgage,26.4
Redbridge,2018,Buying.with.mortgage,37.9
Richmond upon Thames,2018,Buying.with.mortgage,44.2
Southwark,2018,Buying.with.mortgage,25.2
Sutton,2018,Buying.with.mortgage,39.4
Tower Hamlets,2018,Buying.with.mortgage,17.1
Waltham Forest,2018,Buying.with.mortgage,41.5
Wandsworth,2018,Buying.with.mortgage,40.9
Westminster,2018,Buying.with.mortgage,16
Inner London,2018,Buying.with.mortgage,24.4
Outer London,2018,Buying.with.mortgage,36.6
North East,2018,Buying.with.mortgage,37
North West,2018,Buying.with.mortgage,38.7
Yorkshire and The Humber,2018,Buying.with.mortgage,37.3
East Midlands,2018,Buying.with.mortgage,37.4
West Midlands,2018,Buying.with.mortgage,35.9
East of England,2018,Buying.with.mortgage,38.4
London,2018,Buying.with.mortgage,31.7
South East,2018,Buying.with.mortgage,41.4
South West,2018,Buying.with.mortgage,37.7
Wales,2018,Buying.with.mortgage,36.2
Scotland,2018,Buying.with.mortgage,36.6
Northern Ireland,2018,Buying.with.mortgage,37.9
UK,2018,Buying.with.mortgage,37.1
City of London,2017,Buying.with.mortgage,-
Barking and Dagenham,2017,Buying.with.mortgage,32.9
Barnet,2017,Buying.with.mortgage,33.7
Bexley,2017,Buying.with.mortgage,44.4
Brent,2017,Buying.with.mortgage,25.1
Bromley,2017,Buying.with.mortgage,48.8
Camden,2017,Buying.with.mortgage,19.4
Croydon,2017,Buying.with.mortgage,42.2
Ealing,2017,Buying.with.mortgage,32
Enfield,2017,Buying.with.mortgage,31.4
Greenwich,2017,Buying.with.mortgage,35.9
Hackney,2017,Buying.with.mortgage,20.8
Hammersmith and Fulham,2017,Buying.with.mortgage,22.5
Haringey,2017,Buying.with.mortgage,24.9
Harrow,2017,Buying.with.mortgage,33.8
Havering,2017,Buying.with.mortgage,45.8
Hillingdon,2017,Buying.with.mortgage,38.7
Hounslow,2017,Buying.with.mortgage,29.4
Islington,2017,Buying.with.mortgage,18.7
Kensington and Chelsea,2017,Buying.with.mortgage,15.6
Kingston upon Thames,2017,Buying.with.mortgage,40.3
Lambeth,2017,Buying.with.mortgage,27.1
Lewisham,2017,Buying.with.mortgage,38.7
Merton,2017,Buying.with.mortgage,36.4
Newham,2017,Buying.with.mortgage,19.6
Redbridge,2017,Buying.with.mortgage,40.1
